generation,population_size,best_total_fitness,avg_total_fitness,best_trace_score,avg_trace_score,best_overlap_score,avg_overlap_score,best_trace_length_mm,avg_trace_length_mm,best_overlap_penalty,avg_overlap_penalty,min_overlap_penalty,feasible_count,infeasible_count,feasible_ratio,diversity_all_mm,diversity_feasible_mm,diversity_infeasible_mm,trace_weight,overlap_weight,mutation_rate,sigma_xy_mm
49,50,0.9324094380357946,0.6641451767097581,0.8592257203736531,0.5201941458662225,0.9952043856693451,0.7876616873815248,705.536126974179,968.3221566347688,0.0180490309,0.799167844087534,0.0,7,43,0.14,45.43715824510012,52.175280339783285,44.280155012958595,0.4618,0.5382,0.55788,20.884
50,50,0.951075791526832,0.6779073416847009,0.8991958437137838,0.6137922109183365,0.9952698211453543,0.7325239345597523,705.536126974179,941.2316847213183,0.0180490309,1.0206133675896938,0.0,7,43,0.14,45.030174815607516,54.49811884815155,43.41136303271698,0.45999999999999996,0.54,0.556,20.8
51,50,0.9608933804758286,0.7290732638713677,0.9197086620925472,0.684511764796806,0.9957232770487697,0.7667589022544687,705.536126974179,1002.5373963639786,0.0180490309,0.9843461520339909,0.0,8,42,0.16,46.4004474968758,52.24624285666757,45.151771466871985,0.45819999999999994,0.5418000000000001,0.5541200000000001,20.715999999999998
52,50,0.986035812991717,0.6652851862399247,0.9787912902676421,0.5524738624919037,0.9921182268461465,0.7600002122859085,705.536126974179,1028.2838035556372,0.0180490309,0.5495925218714541,0.0,15,35,0.3,46.75890439092551,49.379629640212244,45.38575485279223,0.45640000000000003,0.5436,0.5522400000000001,20.631999999999998
53,50,0.949375781980127,0.6372117517489169,0.8973413855195234,0.49024462598369417,0.9927473196240403,0.7597113032209929,705.536126974179,1080.576571977438,0.0180490309,0.5979827992228475,0.0,13,37,0.26,47.73519919307103,51.45497551889296,46.624416533915046,0.4546,0.5454,0.55036,20.548
54,50,0.9968350613706188,0.739334795105184,1.0,0.6239304354642878,0.9942161209258386,0.8348302155097853,705.536126974179,1108.955564070196,0.0180490309,0.5154247704327102,0.0,19,31,0.38,51.55664824675525,56.709745590681244,47.71397723852461,0.4528,0.5472,0.5484800000000001,20.464
55,50,0.9922785709884403,0.7294059772448184,0.9896120184026173,0.6370196306422509,0.9944691269378143,0.8053007719948327,705.536126974179,989.6825801861809,0.0180490309,0.6353666668825462,0.0,13,37,0.26,43.72811031134558,45.61886774951968,43.012211155908915,0.45099999999999996,0.549,0.5466,20.38
56,50,0.9356393334665163,0.7047713987984485,0.8630752596647941,0.6033189272355282,0.9948183130448272,0.7875100520774315,705.536126974179,998.2906830174923,0.0180490309,0.7401523228193426,0.0,17,33,0.34,42.44174854163913,43.65686017099673,42.00517652387591,0.44920000000000004,0.5508,0.54472,20.296
57,50,0.9719242906259745,0.6657335238907058,0.9445490829350385,0.5847680321312247,0.9940880038379267,0.7312853896402386,705.536126974179,974.5745866204472,0.0180490309,0.8203723704658127,0.0,5,45,0.1,41.62824536903128,45.946253848289764,41.14633545809805,0.4474,0.5526,0.54284,20.212
58,50,0.9970174947755132,0.6694367630352853,1.0,0.5146942500997936,0.9946203008216327,0.7938113369242735,705.536126974179,997.8003283452271,0.0180490309,0.6917683364245086,0.0,9,41,0.18,43.96898995539777,45.234078186491736,43.76105101189825,0.4456,0.5544,0.54096,20.128
59,50,0.9858629140794446,0.6400125725452982,1.0,0.513427621550823,0.9745827293769231,0.7410165302068374,675.8798549833367,974.4303439115605,0.05707181993525333,0.5815202652334689,0.0,9,41,0.18,43.01868102299005,46.514037051895144,42.10810681135764,0.4438,0.5562,0.53908,20.044
60,50,0.9893846414920429,0.6899277484910381,1.0,0.6108271505684718,0.9809760600215822,0.7525844945157232,675.8798549833367,963.2476236459603,0.05707181993525333,0.7422465164528305,0.0,11,39,0.22,43.331172018405134,48.843447361648366,41.77753016350205,0.44199999999999995,0.558,0.5372,19.96
61,50,0.9841045385383126,0.656632019032286,1.0,0.6599115771274324,0.9716051063563997,0.6540531310839411,675.8798549833367,958.0683964912553,0.05707181993525333,0.6953298595781825,0.0,10,40,0.2,44.27212557411846,47.24570223087201,43.03581165904713,0.44020000000000004,0.5598,0.53532,19.875999999999998
